method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
ENS,FGSM,2/255,inception_v3,white_box,1,1,34.59062481607308,0.9553233720892909,2.3661436027481324,1.0,1.0,1,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,googlenet,white_box,1,1,34.59062481607308,0.9553233720892909,2.3661436027481324,0.0,0.0,1,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,densenet161,white_box,1,1,34.59062481607308,0.9553233720892909,2.3661436027481324,1.0,1.0,1,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,resnet50,black_box,1,1,34.59062481607308,0.9553233720892909,2.3661436027481324,1.0,1.0,1,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,vgg19,black_box,1,1,34.59062481607308,0.9553233720892909,2.3661436027481324,0.0,0.0,1,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,inception_v3,white_box,10,10,40.8672709895676,0.9745623289719006,1.502712079791046,1.0,1.0,10,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,googlenet,white_box,10,10,40.8672709895676,0.9745623289719006,1.502712079791046,0.3,0.3,10,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,densenet161,white_box,10,10,40.8672709895676,0.9745623289719006,1.502712079791046,0.7,0.7,10,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,resnet50,black_box,10,10,40.8672709895676,0.9745623289719006,1.502712079791046,0.3,0.125,8,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,vgg19,black_box,10,10,40.8672709895676,0.9745623289719006,1.502712079791046,0.3,0.125,8,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,inception_v3,white_box,1000,885,40.807464449532496,0.9770263674650891,1.495086092626808,0.9966101694915255,0.9966101694915255,885,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,googlenet,white_box,1000,885,40.807464449532496,0.9770263674650891,1.495086092626808,0.5728813559322034,0.5728813559322034,885,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,densenet161,white_box,1000,885,40.807464449532496,0.9770263674650891,1.495086092626808,0.655367231638418,0.655367231638418,885,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,resnet50,black_box,1000,885,40.807464449532496,0.9770263674650891,1.495086092626808,0.4180790960451977,0.2664756446991404,698,1.0,,0,,0,1071.2658240999444
ENS,FGSM,2/255,vgg19,black_box,1000,885,40.807464449532496,0.9770263674650891,1.495086092626808,0.4915254237288136,0.21754385964912282,570,1.0,,0,,0,1071.2658240999444
ENS,I-FGSM,2/255,inception_v3,white_box,1,1,36.527918572793304,0.9686111146123952,2.2506170081678634,1.0,1.0,1,1.0,,0,,0,2601.8163394999574
ENS,I-FGSM,2/255,googlenet,white_box,1,1,36.527918572793304,0.9686111146123952,2.2506170081678634,0.0,0.0,1,1.0,,0,,0,2601.8163394999574
ENS,I-FGSM,2/255,densenet161,white_box,1,1,36.527918572793304,0.9686111146123952,2.2506170081678634,1.0,1.0,1,1.0,,0,,0,2601.8163394999574
ENS,I-FGSM,2/255,resnet50,black_box,1,1,36.527918572793304,0.9686111146123952,2.2506170081678634,1.0,1.0,1,1.0,,0,,0,2601.8163394999574
ENS,I-FGSM,2/255,vgg19,black_box,1,1,36.527918572793304,0.9686111146123952,2.2506170081678634,0.0,0.0,1,1.0,,0,,0,2601.8163394999574
ENS,I-FGSM,2/255,inception_v3,white_box,10,10,41.74777414777215,0.978488680078246,1.471290833878279,1.0,1.0,10,1.0,,0,,0,2601.8163394999574
