method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
YUV,FGSM,2/255,inception_v3,white_box,1,1,36.3285101201078,0.9673401105854378,2.265698126017657,1.0,1.0,1,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,googlenet,white_box,1,1,36.3285101201078,0.9673401105854378,2.265698126017657,0.0,0.0,1,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,densenet161,white_box,1,1,36.3285101201078,0.9673401105854378,2.265698126017657,0.0,0.0,1,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,resnet50,black_box,1,1,36.3285101201078,0.9673401105854378,2.265698126017657,1.0,1.0,1,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,vgg19,black_box,1,1,36.3285101201078,0.9673401105854378,2.265698126017657,0.0,0.0,1,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,inception_v3,white_box,10,10,41.87669923213299,0.9782612321021624,1.4327218541500166,1.0,1.0,10,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,googlenet,white_box,10,10,41.87669923213299,0.9782612321021624,1.4327218541500166,0.0,0.0,10,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,densenet161,white_box,10,10,41.87669923213299,0.9782612321021624,1.4327218541500166,0.0,0.0,10,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,resnet50,black_box,10,10,41.87669923213299,0.9782612321021624,1.4327218541500166,0.3,0.125,8,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,vgg19,black_box,10,10,41.87669923213299,0.9782612321021624,1.4327218541500166,0.2,0.0,8,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,inception_v3,white_box,1000,923,41.39387136451199,0.979293848448462,1.4606901917180843,1.0,1.0,923,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,googlenet,white_box,1000,923,41.39387136451199,0.979293848448462,1.4606901917180843,0.0628385698808234,0.0628385698808234,923,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,densenet161,white_box,1000,923,41.39387136451199,0.979293848448462,1.4606901917180843,0.020585048754062838,0.020585048754062838,923,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,resnet50,black_box,1000,923,41.39387136451199,0.979293848448462,1.4606901917180843,0.28169014084507044,0.1039671682626539,731,1.0,,0,,0,827.888395899965
YUV,FGSM,2/255,vgg19,black_box,1000,923,41.39387136451199,0.979293848448462,1.4606901917180843,0.39544962080173346,0.09634551495016612,602,1.0,,0,,0,827.888395899965
YUV,I-FGSM,2/255,inception_v3,white_box,1,1,36.67205352812272,0.9692986187873244,2.23985216680715,1.0,1.0,1,1.0,,0,,0,824.046846000012
YUV,I-FGSM,2/255,googlenet,white_box,1,1,36.67205352812272,0.9692986187873244,2.23985216680715,0.0,0.0,1,1.0,,0,,0,824.046846000012
YUV,I-FGSM,2/255,densenet161,white_box,1,1,36.67205352812272,0.9692986187873244,2.23985216680715,0.0,0.0,1,1.0,,0,,0,824.046846000012
YUV,I-FGSM,2/255,resnet50,black_box,1,1,36.67205352812272,0.9692986187873244,2.23985216680715,1.0,1.0,1,1.0,,0,,0,824.046846000012
